STATE,DISTRICT,RISK_SCORE,PENETRATION_PCT,POPULATION,PENETRATION_CATEGORY
GUJARAT,BHAVNAGAR,0.73,0.353219,2880365,CRITICAL
MAHARASHTRA,PALGHAR,0.73,0.357812,2990116,CRITICAL
GUJARAT,RAJKOT,0.73,0.448672,3804558,CRITICAL
UTTAR PRADESH,BUDAUN,0.73,0.418263,3712738,CRITICAL
RAJASTHAN,JAIPUR,0.73,0.470045,6626178,CRITICAL
MAHARASHTRA,BEED,0.73,0.393857,2585962,CRITICAL
GUJARAT,JAMNAGAR,0.73,0.281373,2160119,CRITICAL
TAMIL NADU,MADURAI,0.73,0.327096,3038252,CRITICAL
PUNJAB,SANGRUR,0.73,0.140711,1655169,CRITICAL
GUJARAT,ANAND,0.73,0.333927,2090276,CRITICAL
MAHARASHTRA,LATUR,0.73,0.309959,2454196,CRITICAL
UTTAR PRADESH,AZAMGARH,0.73,0.445891,4613913,CRITICAL
UTTAR PRADESH,DEORIA,0.73,0.331017,3098637,CRITICAL
MAHARASHTRA,YAVATMAL,0.73,0.273919,2772348,CRITICAL
TAMIL NADU,COIMBATORE,0.73,0.259858,3458045,CRITICAL
MAHARASHTRA,BULDHANA,0.73,0.273909,2586258,CRITICAL
